species,common_name,type,max_lifespan_years,max_length_feet,max_weight_tons
Balaenoptera musculus,Blue Whale,Mysticeti (Baleen),90.0,110.0,165.0
Eschrichtius robustus,Grey Whale,Mysticeti (Baleen),70.0,49.0,45.0
Eubalaena glacialis,North Atlantic Right Whale,Mysticeti (Baleen),70.0,52.0,70.0
Eubalaena japonica,North Pacific Right Whale,Mysticeti (Baleen),70.0,64.0,100.0
Physeter macrocephalus,Sperm Whale,Odontoceti (Toothed),60.0,52.0,45.0
Megaptera novaeangliae,Humpback Whale,Mysticeti (Baleen),50.0,60.0,40.0
Balaenoptera edeni,Bryde's Whale,Mysticeti (Baleen),70.0,55.0,45.0
Balaenoptera physalus,Fin Whale,Mysticeti (Baleen),140.0,85.0,80.0
Balaena mysticetus,Bowhead Whale,Mysticeti (Baleen),200.0,60.0,100.0
Balaenoptera acutorostrata,Minke Whale,Mysticeti (Baleen),50.0,35.0,10.0
